content,related_titles
"이번 영상은 신세계면세점 자체 캐릭터 ‘폴앤바니’가 선물상자 속 세계를 여행하며 패션과 뷰티, K스타일 등 신세계면세점 공간을 탐험하는 내용이 담겼다. 영상 후반부에는 실제 명동점 매장 공간과 연결된다. 아나몰픽(Anamorphic) 3D 기법을 적용해 캐릭터가 화면 밖으로 튀어나오는 듯한 입체감을 구현했으며, 남산과 명동 거리 등을 반영한 실사풍 배경 등을 통해 몰입감과 생동감을 더하고자 했다.

신세계면세점은 이달 말 11층 스카이파크에 ‘폴앤바니’ 연출존을 설치해 방문객이 직접 사진 촬영과 체험을 즐길 수 있도록 한다.

신세계면세점 관계자는 “명동점은 외국인 관광객들의 필수 방문지로 자리잡은 만큼 쇼핑을 여행과 축제 차원으로 확장하는 콘텐츠를 지속적으로 선보일 것”이라며 “이번 프로젝트를 계기로 명동 상권의 대표적인 체험형 랜드마크로 자리매김할 것”이라고 말했다.",신세계
"이번 영상은 신세계면세점 자체 캐릭터 ‘폴앤바니’가 선물상자 속 세계를 여행하며 패션과 뷰티, K스타일 등 신세계면세점 공간을 탐험하는 내용이 담겼다. 영상 후반부에는 실제 명동점 매장 공간과 연결된다. 아나몰픽(Anamorphic) 3D 기법을 적용해 캐릭터가 화면 밖으로 튀어나오는 듯한 입체감을 구현했으며, 남산과 명동 거리 등을 반영한 실사풍 배경 등을 통해 몰입감과 생동감을 더하고자 했다.

신세계면세점은 이달 말 12층 스카이파크에 ‘폴앤바니’ 연출존을 설치해 방문객이 직접 사진 촬영과 체험을 즐길 수 있도록 한다.

신세계면세점 관계자는 “명동점은 외국인 관광객들의 필수 방문지로 자리잡은 만큼 쇼핑을 여행과 축제 차원으로 확장하는 콘텐츠를 지속적으로 선보일 것”이라며 “이번 프로젝트를 계기로 명동 상권의 대표적인 체험형 랜드마크로 자리매김할 것”이라고 말했다.",신세계
"이번 영상은 신세계면세점 자체 캐릭터 ‘폴앤바니’가 선물상자 속 세계를 여행하며 패션과 뷰티, K스타일 등 신세계면세점 공간을 탐험하는 내용이 담겼다. 영상 후반부에는 실제 명동점 매장 공간과 연결된다. 아나몰픽(Anamorphic) 3D 기법을 적용해 캐릭터가 화면 밖으로 튀어나오는 듯한 입체감을 구현했으며, 남산과 명동 거리 등을 반영한 실사풍 배경 등을 통해 몰입감과 생동감을 더하고자 했다.

신세계면세점은 이달 말 13층 스카이파크에 ‘폴앤바니’ 연출존을 설치해 방문객이 직접 사진 촬영과 체험을 즐길 수 있도록 한다.

신세계면세점 관계자는 “명동점은 외국인 관광객들의 필수 방문지로 자리잡은 만큼 쇼핑을 여행과 축제 차원으로 확장하는 콘텐츠를 지속적으로 선보일 것”이라며 “이번 프로젝트를 계기로 명동 상권의 대표적인 체험형 랜드마크로 자리매김할 것”이라고 말했다.",신세계
"이번 영상은 신세계면세점 자체 캐릭터 ‘폴앤바니’가 선물상자 속 세계를 여행하며 패션과 뷰티, K스타일 등 신세계면세점 공간을 탐험하는 내용이 담겼다. 영상 후반부에는 실제 명동점 매장 공간과 연결된다. 아나몰픽(Anamorphic) 3D 기법을 적용해 캐릭터가 화면 밖으로 튀어나오는 듯한 입체감을 구현했으며, 남산과 명동 거리 등을 반영한 실사풍 배경 등을 통해 몰입감과 생동감을 더하고자 했다.

신세계면세점은 이달 말 14층 스카이파크에 ‘폴앤바니’ 연출존을 설치해 방문객이 직접 사진 촬영과 체험을 즐길 수 있도록 한다.

신세계면세점 관계자는 “명동점은 외국인 관광객들의 필수 방문지로 자리잡은 만큼 쇼핑을 여행과 축제 차원으로 확장하는 콘텐츠를 지속적으로 선보일 것”이라며 “이번 프로젝트를 계기로 명동 상권의 대표적인 체험형 랜드마크로 자리매김할 것”이라고 말했다.",신세계
"이번 영상은 신세계면세점 자체 캐릭터 ‘폴앤바니’가 선물상자 속 세계를 여행하며 패션과 뷰티, K스타일 등 신세계면세점 공간을 탐험하는 내용이 담겼다. 영상 후반부에는 실제 명동점 매장 공간과 연결된다. 아나몰픽(Anamorphic) 3D 기법을 적용해 캐릭터가 화면 밖으로 튀어나오는 듯한 입체감을 구현했으며, 남산과 명동 거리 등을 반영한 실사풍 배경 등을 통해 몰입감과 생동감을 더하고자 했다.

신세계면세점은 이달 말 15층 스카이파크에 ‘폴앤바니’ 연출존을 설치해 방문객이 직접 사진 촬영과 체험을 즐길 수 있도록 한다.

신세계면세점 관계자는 “명동점은 외국인 관광객들의 필수 방문지로 자리잡은 만큼 쇼핑을 여행과 축제 차원으로 확장하는 콘텐츠를 지속적으로 선보일 것”이라며 “이번 프로젝트를 계기로 명동 상권의 대표적인 체험형 랜드마크로 자리매김할 것”이라고 말했다.",신세계
"이번 영상은 신세계면세점 자체 캐릭터 ‘폴앤바니’가 선물상자 속 세계를 여행하며 패션과 뷰티, K스타일 등 신세계면세점 공간을 탐험하는 내용이 담겼다. 영상 후반부에는 실제 명동점 매장 공간과 연결된다. 아나몰픽(Anamorphic) 3D 기법을 적용해 캐릭터가 화면 밖으로 튀어나오는 듯한 입체감을 구현했으며, 남산과 명동 거리 등을 반영한 실사풍 배경 등을 통해 몰입감과 생동감을 더하고자 했다.

신세계면세점은 이달 말 16층 스카이파크에 ‘폴앤바니’ 연출존을 설치해 방문객이 직접 사진 촬영과 체험을 즐길 수 있도록 한다.

신세계면세점 관계자는 “명동점은 외국인 관광객들의 필수 방문지로 자리잡은 만큼 쇼핑을 여행과 축제 차원으로 확장하는 콘텐츠를 지속적으로 선보일 것”이라며 “이번 프로젝트를 계기로 명동 상권의 대표적인 체험형 랜드마크로 자리매김할 것”이라고 말했다.",신세계
"이번 영상은 신세계면세점 자체 캐릭터 ‘폴앤바니’가 선물상자 속 세계를 여행하며 패션과 뷰티, K스타일 등 신세계면세점 공간을 탐험하는 내용이 담겼다. 영상 후반부에는 실제 명동점 매장 공간과 연결된다. 아나몰픽(Anamorphic) 3D 기법을 적용해 캐릭터가 화면 밖으로 튀어나오는 듯한 입체감을 구현했으며, 남산과 명동 거리 등을 반영한 실사풍 배경 등을 통해 몰입감과 생동감을 더하고자 했다.

신세계면세점은 이달 말 17층 스카이파크에 ‘폴앤바니’ 연출존을 설치해 방문객이 직접 사진 촬영과 체험을 즐길 수 있도록 한다.

신세계면세점 관계자는 “명동점은 외국인 관광객들의 필수 방문지로 자리잡은 만큼 쇼핑을 여행과 축제 차원으로 확장하는 콘텐츠를 지속적으로 선보일 것”이라며 “이번 프로젝트를 계기로 명동 상권의 대표적인 체험형 랜드마크로 자리매김할 것”이라고 말했다.",신세계
"이번 영상은 신세계면세점 자체 캐릭터 ‘폴앤바니’가 선물상자 속 세계를 여행하며 패션과 뷰티, K스타일 등 신세계면세점 공간을 탐험하는 내용이 담겼다. 영상 후반부에는 실제 명동점 매장 공간과 연결된다. 아나몰픽(Anamorphic) 3D 기법을 적용해 캐릭터가 화면 밖으로 튀어나오는 듯한 입체감을 구현했으며, 남산과 명동 거리 등을 반영한 실사풍 배경 등을 통해 몰입감과 생동감을 더하고자 했다.

신세계면세점은 이달 말 18층 스카이파크에 ‘폴앤바니’ 연출존을 설치해 방문객이 직접 사진 촬영과 체험을 즐길 수 있도록 한다.

신세계면세점 관계자는 “명동점은 외국인 관광객들의 필수 방문지로 자리잡은 만큼 쇼핑을 여행과 축제 차원으로 확장하는 콘텐츠를 지속적으로 선보일 것”이라며 “이번 프로젝트를 계기로 명동 상권의 대표적인 체험형 랜드마크로 자리매김할 것”이라고 말했다.",신세계
"이번 영상은 신세계면세점 자체 캐릭터 ‘폴앤바니’가 선물상자 속 세계를 여행하며 패션과 뷰티, K스타일 등 신세계면세점 공간을 탐험하는 내용이 담겼다. 영상 후반부에는 실제 명동점 매장 공간과 연결된다. 아나몰픽(Anamorphic) 3D 기법을 적용해 캐릭터가 화면 밖으로 튀어나오는 듯한 입체감을 구현했으며, 남산과 명동 거리 등을 반영한 실사풍 배경 등을 통해 몰입감과 생동감을 더하고자 했다.

신세계면세점은 이달 말 19층 스카이파크에 ‘폴앤바니’ 연출존을 설치해 방문객이 직접 사진 촬영과 체험을 즐길 수 있도록 한다.

신세계면세점 관계자는 “명동점은 외국인 관광객들의 필수 방문지로 자리잡은 만큼 쇼핑을 여행과 축제 차원으로 확장하는 콘텐츠를 지속적으로 선보일 것”이라며 “이번 프로젝트를 계기로 명동 상권의 대표적인 체험형 랜드마크로 자리매김할 것”이라고 말했다.",신세계
"이번 영상은 신세계면세점 자체 캐릭터 ‘폴앤바니’가 선물상자 속 세계를 여행하며 패션과 뷰티, K스타일 등 신세계면세점 공간을 탐험하는 내용이 담겼다. 영상 후반부에는 실제 명동점 매장 공간과 연결된다. 아나몰픽(Anamorphic) 3D 기법을 적용해 캐릭터가 화면 밖으로 튀어나오는 듯한 입체감을 구현했으며, 남산과 명동 거리 등을 반영한 실사풍 배경 등을 통해 몰입감과 생동감을 더하고자 했다.

신세계면세점은 이달 말 20층 스카이파크에 ‘폴앤바니’ 연출존을 설치해 방문객이 직접 사진 촬영과 체험을 즐길 수 있도록 한다.

신세계면세점 관계자는 “명동점은 외국인 관광객들의 필수 방문지로 자리잡은 만큼 쇼핑을 여행과 축제 차원으로 확장하는 콘텐츠를 지속적으로 선보일 것”이라며 “이번 프로젝트를 계기로 명동 상권의 대표적인 체험형 랜드마크로 자리매김할 것”이라고 말했다.",신세계
